award,extra,name,link
The 2024 Visualization Lifetime Achievement Award,Presented To:,Hans Christian Hege,
The 2024 Visualization Lifetime Achievement Award,Presented To:,Min Chen,
The 2024 Visualization Technical Achievement Award,Presented To:,Bongshin Lee,
The 2024 Visualization Technical Achievement Award,Presented To:,Han-Wei Shen,
The 2024 Visualization Significant New Researcher Award,Presented To:,Dominik Moritz,
The 2024 Visualization Significant New Researcher Award,Presented To:,Mennatallah El-Assady,
The 2024 Visualization Dissertation Award,Presented To:,Lin Yan,
The 2024 Visualization Dissertation Award Honorable Mention,Presented To:,Sebastian Weiss,
The 2024 Visualization Dissertation Award Honorable Mention,Presented To:,Joscha Eirich,
The 2024 Visualization Dissertation Award Honorable Mention,Presented To:,Zehua Zeng,
The 2024 Visualization Service Award,Presented To:,Maria Velez,